title,year,bt_score,dubious,imdbid,tmdbId,budget,id,popularity,revenue,Category,castMale,castFemale,castUnknown,CrewMale,CrewFemale,CrewUnknown,genre
"Forest for the Trees, The",2003,3,0,386862,6443,0.0,6443,0.796554,0.0,Beschdel test passed!,5.0,1.0,0.0,3.0,12.0,1.0,Drama
21 grams,2003,3,1,315733,470,20000000.0,470,6.372278,60427839.0,Dubious,11.0,16.0,0.0,4.0,10.0,0.0,"Drama, Crime, Thriller"
Darkness Falls,2003,1,0,282209,10727,0.0,10727,11.878552,0.0,Two named female character have no dialogue,5.0,5.0,0.0,59.0,54.0,5.0,"Thriller, Horror"
"Spring, Summer, Fall, Winter... and Spring",2003,1,0,374546,113,0.0,113,8.157887,6502364.0,Two named female character have no dialogue,1.0,6.0,3.0,2.0,6.0,4.0,Drama
House of the Dead,2003,2,0,317676,11059,7000000.0,11059,5.701278,13818181.0,Two named female character talk only about boys,6.0,11.0,0.0,60.0,31.0,6.0,"Horror, Action, Thriller"
Elephant,2003,3,0,363589,1807,3000000.0,1807,6.447312,10012022.0,Beschdel test passed!,6.0,10.0,0.0,0.0,4.0,0.0,"Drama, Crime"
"Heung joh chow heung yau chow (Turn Left, Turn Right)",2003,3,1,367174,41198,0.0,41198,1.005361,0.0,Dubious,4.0,2.0,5.0,2.0,0.0,2.0,Romance
"Man Who Copied, The",2003,2,0,367859,40823,0.0,40823,3.954105,0.0,Two named female character talk only about boys,3.0,3.0,0.0,0.0,2.0,0.0,"Romance, Comedy, Drama"
Gothika,2003,3,0,348836,4970,40000000.0,4970,10.939066,141591324.0,Beschdel test passed!,3.0,8.0,0.0,69.0,39.0,9.0,"Horror, Thriller"
High Roller: The Stu Ungar Story,2003,3,1,338467,27079,0.0,27079,0.888157,0.0,Dubious,3.0,2.0,0.0,0.0,0.0,2.0,"Drama, Action"
Stupeur et Tremblements,2003,3,0,318725,31076,0.0,31076,1.693772,0.0,Beschdel test passed!,2.0,2.0,4.0,0.0,1.0,0.0,"Drama, Comedy, Foreign"
My Boss&#39;s Daughter,2003,3,0,270980,2830,14000000.0,2830,13.49615,0.0,Beschdel test passed!,3.0,8.0,0.0,0.0,8.0,0.0,"Comedy, Romance"
Basic,2003,3,1,264395,10782,50000000.0,10782,14.327717,42792561.0,Dubious,2.0,14.0,1.0,28.0,30.0,0.0,"Action, Drama, Mystery, Thriller, Crime"
Intolerable Cruelty,2003,3,0,138524,11775,60000000.0,11775,13.469862,119940815.0,Beschdel test passed!,17.0,22.0,3.0,27.0,18.0,1.0,"Crime, Comedy, Romance"
High Tension,2003,3,0,338095,10226,0.0,10226,5.460821,0.0,Beschdel test passed!,3.0,4.0,0.0,4.0,9.0,1.0,"Horror, Thriller, Mystery"
An Unexpected Love,2003,3,0,329679,125233,0.0,125233,0.578154,0.0,Beschdel test passed!,9.0,4.0,0.0,8.0,5.0,1.0,"Drama, TV Movie"
"Lizzie McGuire Movie, The",2003,3,0,306841,18736,17000000.0,18736,6.730857,55534455.0,Beschdel test passed!,9.0,15.0,0.0,1.0,7.0,0.0,"Family, Comedy"
Fear X,2003,1,0,289944,37696,0.0,37696,2.059918,0.0,Two named female character have no dialogue,4.0,8.0,0.0,8.0,3.0,2.0,"Thriller, Mystery, Foreign"
"Station Agent, The",2003,3,0,340377,2056,500000.0,2056,5.85469,8679814.0,Beschdel test passed!,6.0,8.0,1.0,5.0,11.0,0.0,"Drama, Comedy"
Rugrats Go Wild,2003,3,0,337711,20694,0.0,20694,9.599034,0.0,Beschdel test passed!,8.0,7.0,0.0,15.0,6.0,0.0,"Animation, Family"
Ju-on 2,2003,3,0,367913,9666,0.0,9666,5.165962,0.0,Beschdel test passed!,4.0,6.0,0.0,2.0,3.0,0.0,"Horror, Thriller"
Once Upon a Time in Mexico,2003,1,0,285823,1428,29000000.0,1428,8.843365,98185582.0,Two named female character have no dialogue,2.0,9.0,0.0,24.0,23.0,3.0,Action
Johnny English,2003,1,0,274166,9486,40000000.0,9486,8.739991,160583018.0,Two named female character have no dialogue,7.0,10.0,0.0,2.0,9.0,0.0,"Adventure, Action, Comedy"
Robot Stories,2003,3,1,301777,20032,0.0,20032,1.097132,0.0,Dubious,7.0,7.0,1.0,0.0,2.0,0.0,"Drama, Science Fiction, Romance"
Time of the Wolf,2003,2,0,324197,24190,0.0,24190,2.379551,0.0,Two named female character talk only about boys,3.0,2.0,0.0,5.0,7.0,1.0,Drama
